word,subtype,phonetic,phonetic_uk,phonetic_us,conflict_dialects,source_variants,uk_candidate_count,us_candidate_count
reykjavik,no_safe_variant,/ˈɹeɪkdʒɐvˌɪk/,,,us,us,0,2
robots,no_safe_variant,/ˈɹəʊbɒts/,,,us,us,0,2
rooms,has_us_only_but_conflict,/ˈɹuːmz/,,/ˈɹuːmz/,uk,uk,4,1
ross,no_safe_variant,/rɔs/,,,us,us,0,2
rounds,no_safe_variant,/ˈɹaʊndz/,,,us,us,0,2
routers,no_safe_variant,/ˈɹuːtəz/,,,us,us,0,2
routes,no_safe_variant,/ˈɹuːts/,,,us,us,0,3
ru,no_safe_variant,/ˈɹuː/,,,us,us,0,2
ruth,has_us_only_but_conflict,/ˈɹuːθ/,,/ˈɹuːθ/,uk,uk,2,1
rwanda,no_safe_variant,/ˈrjændə/,,,us,us,0,2
saddam,no_safe_variant,/ˈsadəm/,,,us,us,0,2
salutatory,no_safe_variant,/ˈsaluːtətəɹɪ/,,,uk,uk,4,0
san,has_us_only_but_conflict,/ˈsæn/,,/ˈsæn/,uk,uk,4,1
sandwiched,no_safe_variant,/ˈsænwɪdʒd/,,,us,us,0,3
sans,has_us_only_but_conflict,/ˈsænz/,,/ˈsænz/,uk,uk,4,1
santa,no_safe_variant,/ˈsæntə/,,,us,us,0,2
sapience,no_safe_variant,/ˈsapɪəns/,,,uk,uk,2,0
saturday,no_safe_variant,/ˈsætədɪ/,,,us,us,0,2
sawyer,no_safe_variant,/ˈsɔɪə/,,,uk|us,uk|us,2,2
says,no_safe_variant,/ˈsɛz/,,,us,us,0,2
schedules,no_safe_variant,/ˈʃɛdjuːlz/,,,us,us,0,2
sci,no_safe_variant,/ˈsaɪ/,,,us,us,0,2
sciences,no_safe_variant,/ˈsaɪənsɪz/,,,us,us,0,2
scientists,no_safe_variant,/ˈsaɪəntɪsts/,,,us,us,0,4
scripts,no_safe_variant,/ˈskɹɪpts/,,,us,us,0,2
secrets,no_safe_variant,/ˈsiːkɹɪts/,,,us,us,0,2
securities,has_us_only_but_conflict,/sɪˈkjʊɹətiz/,,/sɪˈkjʊɹətiz/,uk,uk,4,1
sega,no_safe_variant,/ˈseɪɡə/,,,us,us,0,2
segments,no_safe_variant,/ˈsɛɡmənts/,,,us,us,0,2
semi-colon,no_safe_variant,/ˈsemɪˌkəʊlɒn/,,,us,us,0,2
