word,syllables,actual_count,cmu_counts,category,phonetic
fs,fs,1,0/2,other,/ˌɛfˈɛs/
gazelle,gazelle,1,2,other,/ɡəˈzɛl/
genetically,ge-net-i-cal-ly,5,4,adverb_ically_ally,/dʒəˈnɛtɪkli/
geometrically,ge-o-met-ri-cal-ly,6,5,adverb_ically_ally,/ˌdʒiːəˈmɛtɹɪkli/
graphically,graph-i-cal-ly,4,3,adverb_ically_ally,/ˈɡɹæfɪkli/
gratuitous,gra-tu-itous,3,4,other,/ɡɹəˈtuːətəs/
gratuity,gra-tu-ity,3,4,suffix_ity_ety,/ɡɹəˈtuːɪti/
gravitationally,grav-i-ta-tion-al-ly,6,5,adverb_ically_ally,/ˌɡɹævəˈteɪʃnəli/
grotesque,grotesque,1,2,other,/ɡɹoʊˈtɛsk/
hawaiian,hawai-ian,2,3,vowel_sequence_suffix,/həˈwaɪən/
hedonism,he-do-nism,3,4,suffix_ism,/ˈhiːdəˌnɪzəm/
herbarium,herbar-i-um,3,4,vowel_sequence_suffix,/hɜːbˈeəɹɪəm/
heroic,hero-ic,2,3,other,/hɪˈɹoʊɪk/
heroin,hero-in,2,3,other,/ˈhɛɹoʊən/
heroism,hero-ism,2,4,suffix_ism,/ˈhɛɹoʊˌɪzəm/
heterogeneity,he-te-ro-ge-nei-ty,6,7,suffix_ity_ety,/ˈhɛtɹədʒˌɛneɪtɪ/
hierarchical,hi-er-ar-chi-cal,5,4,other,/ˌhaɪˈɹɑɹkəkəl/
histrionic,histri-on-ic,3,4,other,/ˌhɪstɹiˈɑnɪk/
hmm,hmm,1,0,other,/hm/
homogeneity,ho-mo-ge-nei-ty,5,6,suffix_ity_ety,/ˌhɑmədʒəˈniːəti/
hopewell,hopewell,1,2,other,/ˈhoʊpˌwɛl/
hourglass,hour-glass,2,3,other,/ˈaʊɚˌɡlæs/
hughes,hugh-es,2,1,other,/ˈhjuːz/
humanism,hu-man-ism,3,4,suffix_ism,/ˈhjuːməˌnɪzəm/
hydroelectric,hy-dro-elec-tric,4,5,other,/ˌhaɪdɹoʊɪˈlɛktɹɪk/
hyena,hye-na,2,3,other,/haɪˈiːnə/
hyperborean,hy-per-bore-an,4,5,other,/ˌhaɪpɚˈbɔɹiən/
hypnotism,hyp-no-tism,3,4,suffix_ism,/ˈhɪpnəˌtɪzəm/
hypochondriac,hy-poc-hon-driac,4,5,other,/ˌhaɪpəˈkɑndɹiæk/
hysterically,hys-ter-i-cal-ly,5,4,adverb_ically_ally,/ˌhɪˈstɛɹɪkli/
ian,ian,1,2,vowel_sequence_suffix,/ˈiːən/
idealism,ide-al-ism,3,4,suffix_ism,/aɪˈdiːlɪzəm/
idealistic,ide-al-is-tic,4,5,other,/aɪˌdiːəˈlɪstɪk/
identifiable,i-den-ti-fi-able,5,6,suffix_able_ible,/aɪˈdɛntəˌfaɪəbəl/
ideology,ide-ol-o-gy,4,5,other,/ˌaɪdiˈɑlədʒi/
idiom,id-iom,2,3,other,/ˈɪdiəm/
idiot,id-iot,2,3,other,/ˈɪˌdiːət/
ids,ids,1,2,other,/ˈaɪˈdiːz/
imagery,im-agery,2,3,other,/ˈɪmɪdʒɹɪ/
immemorial,im-memo-ri-al,4,5,other,/ˌɪməˈmɔɹiəl/
imperialism,im-pe-ri-al-ism,5,6,suffix_ism,/ˌɪmˈpɪɹiəˌlɪzəm/
impoverish,im-pov-er-ish,4,3,other,/ˌɪmˈpɑvɹɪʃ/
impoverished,im-pov-er-ished,4,3,other,/ˌɪmˈpɑvɹɪʃt/
impropriety,im-pro-pri-ety,4,5,suffix_ity_ety,/ˌɪmpɹəˈpɹaɪəti/
incendiary,in-cen-di-ary,4,5,other,/ˌɪnˈsɛndiɛɹi/
inconspicuous,in-con-spic-u-ous,5,4,vowel_sequence_suffix,/ˌɪŋˈkɑnspɪkwəs/
indiana,in-di-ana,3,4,other,/ˌɪndiˈænə/
individualism,in-di-vid-u-al-ism,6,7,suffix_ism,/ˌɪndɪvɪˈduːəˌlɪzəm/
inebriated,ine-bri-at-ed,4,5,other,/ˌɪˈnɛbɹiˌeɪtəd/
influences,in-flu-ences,3,4,other,/ˈɪnˌfluːənsɪz/
influenza,in-fluen-za,3,4,other,/ˌɪnfluˈɛnzə/
ingenuity,in-ge-nu-ity,4,5,suffix_ity_ety,/ˌɪndʒəˈnuːəˌtiː/
initiated,ini-ti-at-ed,4,5,other,/ɪˈnɪʃɪeɪtɪd/
intermediary,in-ter-me-di-ary,5,6,other,/ˌɪntəmˈiːdiːəɹɪ/
intestines,in-testines,2,3,other,/ˌɪnˈtɛstənz/
inuit,i-nu-it,3,2,other,/ˈɪnut/
inviolable,in-vi-o-lable,4,5,suffix_able_ible,/ˌɪnˈvaɪələbəl/
ion,ion,1,2,other,/ˈaɪɒn/
iota,io-ta,2,3,other,/ˌaɪˈoʊtə/
iowa,io-wa,2,3,other,/ˈaɪəwə/
iridium,irid-i-um,3,4,vowel_sequence_suffix,/ˌɪˈɹɪdiəm/
iroquois,iro-quois,2,3,other,/ˈɪɹəˌkwɔɪ/
jacksonville,jack-sonville,2,3,other,/ˈdʒæksənˌvɪl/
january,jan-u-ary,3,4,other,/ˈdʒænjuˌɛɹi/
jingoism,jin-go-ism,3,4,suffix_ism,/ˈdʒɪŋˌɡoʊɪzəm/
joel,joel,1,2,other,/ˈdʒoʊəl/
joshua,jos-hua,2,3,other,/ˈdʒɑˌʃuːə/
journalism,jour-nal-ism,3,4,suffix_ism,/ˈdʒɝnəˌlɪzəm/
justifiable,jus-ti-fi-able,4,5,suffix_able_ible,/ˈdʒʌstəˌfaɪəbəl/
karaoke,ka-rao-ke,3,4,other,/ˌkɛɹiˈoʊki/
kier,ki-er,2,1,other,/ˈkɪɹ/
laboratories,lab-o-ra-to-ries,5,4,other,/ˈlæbɹəˌtɔɹiz/
laboratory,lab-o-ra-to-ry,5,4,other,/ˈlæbɹəˌtɔɹi/
laity,lai-ty,2,3,suffix_ity_ety,/ˈleɪəti/
lauderdale,laud-erdale,2,3,other,/ˈlɔdɚˌdeɪl/
leisurely,leisure-ly,2,3,other,/ˈliːzɚli/
leviathan,le-viat-han,3,4,other,/ləˈvaɪəθən/
liable,li-able,2,3,suffix_able_ible,/ˈlaɪəbəl/
liberalism,lib-er-al-ism,4,5,suffix_ism,/ˈlɪˌbɝəˌlɪzəm/
lifeblood,lifeblood,1,2,other,/ˈlaɪfˌblʌd/
linear,lin-ear,2,3,other,/ˈlɪniɚ/
linearly,lin-ear-ly,3,4,other,/ˈlɪniɚli/
linoleum,li-no-leum,3,4,other,/ləˈnoʊliəm/
liqueur,liqueur,1,2,other,/lɪˈkɝ/
lithuania,lit-hua-nia,3,5,vowel_sequence_suffix,/ˌlɪθəˈweɪniə/
livelihood,liveli-hood,2,3,other,/ˈlaɪvliˌhʊd/
loess,loess,1,2,other,/ˈloʊəs/
logically,log-i-cal-ly,4,3,adverb_ically_ally,/ˈlɑdʒɪkli/
louisiana,lou-i-si-ana,4,5,other,/luˌiːziˈænə/
louisville,lou-is-vil-le,4,3,other,/ˈluːiˌvɪl/
machiavellian,mac-hia-vel-lian,4,5/6,vowel_sequence_suffix,/ˌmækɪəˈvelɪən/
magnesium,mag-ne-sium,3,4,vowel_sequence_suffix,/mæɡˈniːziəm/
magnetism,ma-gne-tism,3,4,suffix_ism,/ˈmæɡnəˌtɪzəm/
makeshift,makeshift,1,2,other,/ˈmeɪkˌʃɪft/
managerial,man-age-ri-al,4,5,other,/ˌmænɪˈdʒɪɹiəl/
mannerism,man-ner-ism,3,4,suffix_ism,/ˈmænɚˌɪzəm/
mariah,mari-ah,2,3,other,/mɚˈaɪə/
marxism,marx-ism,2,3,suffix_ism,/ˈmɑɹksɪzəm/
materialism,ma-te-ri-al-ism,5,6,suffix_ism,/məˈtɪɹiəˌlɪzəm/
mauritius,mau-ri-tius,3,4,other,/mɔˈɹɪtiəs/
mausoleum,mau-so-leum,3,4,other,/ˌmɔsəˈliːəm/
mcdonald,mcdon-ald,2,3,other,/məkˈdɑnəld/
mechanically,me-chan-i-cal-ly,5,4,adverb_ically_ally,/məˈkænɪkli/
mechanism,mech-a-nism,3,4,suffix_ism,/ˈmɛkəˌnɪzəm/
mechanisms,mech-a-nisms,3,4,other,/ˈmɛkəˌnɪzəmz/
medicines,me-di-ci-nes,4,3,other,/ˈmɛdəsənz/
memorial,memo-ri-al,3,4,other,/məˈmɔɹiəl/
meridian,merid-i-an,3,4,vowel_sequence_suffix,/mɚˈɪdiən/
mesmerism,me-sme-rism,3,4,suffix_ism,/ˈmɛsmɚˌɪzəm/
mesozoic,me-so-zoic,3,4,other,/ˌmɛsəˈzoʊɪk/
metabolism,me-tab-o-lism,4,5,suffix_ism,/məˈtæbəˌlɪzəm/
meteoric,me-te-oric,3,4,other,/ˌmiːtiˈɔɹɪk/
michelle,michelle,1,2,other,/mɪˈʃɛl/
microcosm,mi-cro-cosm,3,4,other,/ˈmaɪkɹəˌkɑzəm/
militarism,mi-li-ta-rism,4,5,suffix_ism,/ˈmɪlətɚˌɪzəm/
miniscule,minis-cule,2,3,other,/ˈmɪnɪskjul/
minutely,minute-ly,2,3,other,/ˈmɪnətli/
mm,mm,1,0,other,/m/
modernism,mo-der-nism,3,4,suffix_ism,/ˈmɑdɚˌnɪzəm/
monologue,mono-logue,2,3,other,/ˈmɑnəˌlɔɡ/
monotheism,mo-not-he-ism,4,5,suffix_ism,/ˈmɑnəˌθiːɪzəm/
montgomery,mont-gomery,2,3,other,/mɑntˈɡʌmɹi/
morale,morale,1,2,other,/mɚˈæl/
moralism,mo-ra-lism,3,4,suffix_ism,/ˈmɔɹəˌlɪzəm/
moratorium,mora-to-ri-um,4,5,vowel_sequence_suffix,/ˌmɔɹəˈtɔɹiəm/
motile,motile,1,2,other,/ˈmoʊtəl/
mozambique,mozam-bique,2,3,other,/ˌmɒzɐmbˈiːk/
mpeg,mpeg,1,2,other,/ˈɛmˌpɛɡ/
mrs,mrs,1,2,other,/ˈmɪsɪz/
mutualism,mu-tu-al-ism,4,5,suffix_ism,/ˈmjuːtʃuˌʌˌlɪzəm/
myopic,my-opic,2,3,other,/maɪˈɑpɪk/
naivete,nai-ve-te,3,4,other,/nɑˌiːvəˈteɪ/
narcissism,nar-cis-sism,3,4,suffix_ism,/ˈnɑɹsɪˌsɪzəm/
neanderthal,ne-an-derthal,3,4,other,/niˈændɚˌθɔl/
neolithic,ne-olith-ic,3,4,other,/ˈniːoʊˌlɪθɪk/
nepotism,ne-po-tism,3,4,suffix_ism,/ˈnɛpəˌtɪzəm/
nicole,nicole,1,2,other,/nɪˈkoʊl/
nihilism,ni-hi-lism,3,4,suffix_ism,/ˈnaɪəˌlɪzəm/
notoriety,no-to-ri-ety,4,5,suffix_ity_ety,/ˌnoʊtɚˈaɪəti/
oasis,oa-sis,2,3,other,/oʊˈeɪsɪs/
obedient,obe-di-ent,3,4,other,/oʊˈbiːdiənt/
obituary,o-bit-u-ary,4,5,other,/oʊˈbɪtʃuˌɛɹi/
obliged,obliged,1,2,other,/əˈblaɪdʒd/
oblique,oblique,1,2,other,/əˈbliːk/
omelet,omelet,1,2,other,/ˈɑmlət/
opaque,opaque,1,2,other,/oʊˈpeɪk/
opened,opened,1,2,other,/ˈoʊpənd/
opera,opera,1,2,other,/ˈɑpɹə/
opium,opi-um,2,3,vowel_sequence_suffix,/ˈoʊpiəm/
opportunism,op-por-tu-nism,4,5,suffix_ism,/ˌɑpɚˈtuːˌnɪzəm/
optimism,op-ti-mism,3,4,suffix_ism,/ˈɑptəˌmɪzəm/
organically,or-gan-i-cal-ly,5,4,adverb_ically_ally,/ɔɹˈɡænɪkli/
organism,or-gan-ism,3,4,suffix_ism,/ˈɔɹɡəˌnɪzəm/
organisms,or-gan-isms,3,4,other,/ˈɔɹɡəˌnɪzəmz/
orient,ori-ent,2,3,other,/ˈɔɹiˌɛnt/
oriental,ori-en-tal,3,4,other,/ˌɔːɹɪˈɛntəl/
oriented,ori-ent-ed,3,4,other,/ˈɔːɹɪəntɪd/
ostracism,os-tra-cism,3,4,suffix_ism,/ˈɔstɹəˌsɪzəm/
overseer,o-ver-seer,3,4,other,/ˈoʊvɚˈsiːɚ/
